Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,CD4+ T cell %T cell,GCST90001591,23,15.25,0.132,0.180,0.970,1.000,0.861,1.162,0.9259,1.0244,0.8788,1.0793,yes,yes,yes,no,""
CONDUCTIO,CD4+ T cell %T cell,GCST90001591,23,15.25,0.132,0.534,1.000,1.000,0.893,1.120,0.9322,1.0055,0.8965,1.0455,yes,yes,yes,no,""
AVBLOCK,CD8+ T cell Absolute Count,GCST90001592,21,14.85,0.134,0.170,0.965,1.000,0.859,1.164,0.9620,1.0185,0.9342,1.0489,yes,yes,yes,yes,""
CONDUCTIO,CD8+ T cell Absolute Count,GCST90001592,21,14.85,0.134,0.513,1.000,1.000,0.892,1.121,0.9793,1.0179,0.9599,1.0384,yes,yes,yes,yes,""
AVBLOCK,CD8+ T cell %T cell,GCST90001593,23,15.99,0.136,0.201,0.979,1.000,0.864,1.158,0.9894,1.0784,0.9464,1.1274,yes,yes,yes,no,""
CONDUCTIO,CD8+ T cell %T cell,GCST90001593,23,15.99,0.136,0.572,1.000,1.000,0.895,1.117,0.9783,1.0439,0.9460,1.0794,yes,yes,yes,yes,""
AVBLOCK,CD4+CD8+ T cell Absolute Count,GCST90001594,18,13.98,0.127,0.148,0.949,1.000,0.855,1.169,0.9167,1.0328,0.8620,1.0983,yes,yes,yes,no,""
CONDUCTIO,CD4+CD8+ T cell Absolute Count,GCST90001594,18,13.98,0.127,0.465,1.000,1.000,0.889,1.125,0.9437,1.0316,0.9013,1.0802,yes,yes,yes,no,""
AVBLOCK,CD4+CD8+ T cell %T cell,GCST90001595,8,5.79,0.047,0.018,0.358,0.889,0.784,1.275,0.9219,1.1606,0.8187,1.3069,yes,no,no,no,""
CONDUCTIO,CD4+CD8+ T cell %T cell,GCST90001595,8,5.79,0.047,0.070,0.791,0.998,0.832,1.201,0.9317,1.1162,0.8488,1.2251,yes,no,no,no,""
AVBLOCK,CD8dim T cell Absolute Count,GCST90001596,27,18.61,0.176,0.277,0.994,1.000,0.873,1.145,0.9507,1.0154,0.9189,1.0505,yes,yes,yes,yes,""
CONDUCTIO,CD8dim T cell Absolute Count,GCST90001596,27,18.61,0.176,0.695,1.000,1.000,0.903,1.108,0.9481,0.9960,0.9243,1.0217,yes,yes,yes,yes,""
AVBLOCK,CD8dim T cell %T cell,GCST90001597,19,14.93,0.134,0.172,0.966,1.000,0.860,1.163,0.9476,1.0572,0.8956,1.1185,yes,yes,yes,no,""
CONDUCTIO,CD8dim T cell %T cell,GCST90001597,19,14.93,0.134,0.517,1.000,1.000,0.892,1.121,0.9605,1.0426,0.9208,1.0876,yes,yes,yes,yes,""
AVBLOCK,CD4-CD8- T cell Absolute Count,GCST90001598,20,13.58,0.134,0.139,0.940,1.000,0.853,1.172,0.9641,1.1112,0.8960,1.1957,yes,yes,no,no,""
CONDUCTIO,CD4-CD8- T cell Absolute Count,GCST90001598,20,13.58,0.134,0.443,1.000,1.000,0.887,1.127,0.9679,1.0625,0.9225,1.1148,yes,yes,yes,no,""
AVBLOCK,CD4-CD8- T cell %T cell,GCST90001599,15,11.43,0.108,0.093,0.865,1.000,0.841,1.189,0.9392,1.0864,0.8713,1.1711,yes,yes,yes,no,""
CONDUCTIO,CD4-CD8- T cell %T cell,GCST90001599,15,11.43,0.108,0.323,0.997,1.000,0.878,1.139,0.9822,1.0952,0.9285,1.1585,yes,yes,yes,no,""
AVBLOCK,Leukocyte Absolute Count,GCST90001600,11,7.38,0.068,0.032,0.540,0.971,0.806,1.240,0.9385,1.0084,0.9043,1.0465,yes,yes,yes,no,""
CONDUCTIO,Leukocyte Absolute Count,GCST90001600,11,7.38,0.068,0.124,0.923,1.000,0.850,1.176,0.9528,1.0055,0.9267,1.0338,yes,yes,yes,yes,""
AVBLOCK,Lymphocyte Absolute Count,GCST90001601,19,13.84,0.117,0.145,0.946,1.000,0.854,1.170,0.9534,1.0871,0.8910,1.1632,yes,yes,yes,no,""
CONDUCTIO,Lymphocyte Absolute Count,GCST90001601,19,13.84,0.117,0.457,1.000,1.000,0.888,1.126,0.9693,1.0622,0.9246,1.1136,yes,yes,yes,no,""
AVBLOCK,Lymphocyte %leukocyte,GCST90001602,22,14.56,0.131,0.163,0.960,1.000,0.858,1.166,0.9815,1.0596,0.9435,1.1023,yes,yes,yes,no,""
CONDUCTIO,Lymphocyte %leukocyte,GCST90001602,22,14.56,0.131,0.497,1.000,1.000,0.891,1.123,0.9786,1.0366,0.9499,1.0679,yes,yes,yes,yes,""
AVBLOCK,T cell Absolute Count,GCST90001603,19,14.52,0.120,0.162,0.960,1.000,0.858,1.166,0.8976,1.0004,0.8487,1.0579,yes,yes,no,no,""
CONDUCTIO,T cell Absolute Count,GCST90001603,19,14.52,0.120,0.495,1.000,1.000,0.891,1.123,0.9330,1.0112,0.8951,1.0540,yes,yes,yes,no,""
AVBLOCK,T cell %lymphocyte,GCST90001604,17,13.37,0.122,0.134,0.935,1.000,0.852,1.174,0.8679,1.0224,0.7975,1.1127,yes,no,no,no,""
CONDUCTIO,T cell %lymphocyte,GCST90001604,17,13.37,0.122,0.431,1.000,1.000,0.886,1.128,0.9170,1.0168,0.8694,1.0725,yes,yes,yes,no,""
AVBLOCK,T cell %leukocyte,GCST90001605,18,11.43,0.109,0.093,0.864,1.000,0.841,1.189,0.9817,1.0620,0.9428,1.1059,yes,yes,yes,no,""
CONDUCTIO,T cell %leukocyte,GCST90001605,18,11.43,0.109,0.322,0.997,1.000,0.878,1.139,0.9781,1.0447,0.9455,1.0808,yes,yes,yes,yes,""
AVBLOCK,CD4+ T cell %leukocyte,GCST90001606,13,8.22,0.076,0.042,0.628,0.987,0.815,1.226,0.8835,1.1399,0.7746,1.3000,yes,no,no,no,""
CONDUCTIO,CD4+ T cell %leukocyte,GCST90001606,13,8.22,0.076,0.160,0.958,1.000,0.857,1.166,0.8922,1.0667,0.8136,1.1698,yes,no,no,no,""
AVBLOCK,CD8+ T cell %leukocyte,GCST90001607,17,12.37,0.106,0.112,0.904,1.000,0.847,1.181,0.9468,1.0861,0.8821,1.1658,yes,yes,yes,no,""
CONDUCTIO,CD8+ T cell %leukocyte,GCST90001607,17,12.37,0.106,0.375,0.999,1.000,0.882,1.134,0.9510,1.0475,0.9048,1.1010,yes,yes,yes,no,""
AVBLOCK,CD4+CD8+ T cell %leukocyte,GCST90001608,22,17.26,0.156,0.237,0.988,1.000,0.869,1.151,0.9408,1.0610,0.8843,1.1288,yes,yes,yes,no,""
CONDUCTIO,CD4+CD8+ T cell %leukocyte,GCST90001608,22,17.26,0.156,0.635,1.000,1.000,0.899,1.112,0.9658,1.0619,0.9197,1.1152,yes,yes,yes,no,""
