Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
CONDUCTIO,CD20 on IgD- CD27- B cell,GCST90001754,19,15.30,0.136,0.536,1.000,1.000,0.893,1.119,0.9187,1.0222,0.8694,1.0801,yes,yes,yes,no,""
AVBLOCK,CD20 on IgD- CD38- B cell,GCST90001755,27,21.64,0.187,0.372,0.999,1.000,0.882,1.134,0.9635,1.0696,0.9130,1.1287,yes,yes,yes,no,""
CONDUCTIO,CD20 on IgD- CD38- B cell,GCST90001755,27,21.64,0.187,0.806,1.000,1.000,0.909,1.100,0.9751,1.0675,0.9306,1.1186,yes,yes,yes,no,""
AVBLOCK,CD20 on IgD- CD38+ B cell,GCST90001756,16,10.22,0.093,0.071,0.795,0.998,0.833,1.201,0.9542,1.0122,0.9256,1.0435,yes,yes,yes,yes,""
CONDUCTIO,CD20 on IgD- CD38+ B cell,GCST90001756,16,10.22,0.093,0.257,0.992,1.000,0.871,1.148,0.9789,1.0183,0.9591,1.0392,yes,yes,yes,yes,""
AVBLOCK,CD20 on IgD- CD38dim B cell,GCST90001757,34,29.62,0.256,0.616,1.000,1.000,0.898,1.113,0.9782,1.0069,0.9637,1.0220,yes,yes,yes,yes,""
CONDUCTIO,CD20 on IgD- CD38dim B cell,GCST90001757,34,29.62,0.256,0.954,1.000,1.000,0.922,1.084,0.9926,1.0145,0.9814,1.0260,yes,yes,yes,yes,""
AVBLOCK,CD20 on memory B cell,GCST90001758,28,23.30,0.199,0.425,0.999,1.000,0.886,1.129,0.9769,1.0616,0.9359,1.1081,yes,yes,yes,no,""
CONDUCTIO,CD20 on memory B cell,GCST90001758,28,23.30,0.199,0.852,1.000,1.000,0.913,1.096,0.9905,1.0556,0.9586,1.0908,yes,yes,yes,yes,""
AVBLOCK,CD20 on naive-mature B cell,GCST90001759,23,18.68,0.167,0.279,0.994,1.000,0.873,1.145,0.9823,1.0268,0.9601,1.0506,yes,yes,yes,yes,""
CONDUCTIO,CD20 on naive-mature B cell,GCST90001759,23,18.68,0.167,0.698,1.000,1.000,0.903,1.108,0.9969,1.0342,0.9781,1.0541,yes,yes,yes,yes,""
AVBLOCK,CD20 on unswitched memory B cell,GCST90001760,22,18.79,0.158,0.283,0.994,1.000,0.874,1.144,0.9507,1.0228,0.9155,1.0621,yes,yes,yes,yes,""
CONDUCTIO,CD20 on unswitched memory B cell,GCST90001760,22,18.79,0.158,0.703,1.000,1.000,0.903,1.107,0.9749,1.0299,0.9476,1.0594,yes,yes,yes,yes,""
AVBLOCK,CD20 on switched memory B cell,GCST90001761,31,27.17,0.236,0.546,1.000,1.000,0.894,1.119,0.9785,1.0686,0.9350,1.1182,yes,yes,yes,no,""
CONDUCTIO,CD20 on switched memory B cell,GCST90001761,31,27.17,0.236,0.926,1.000,1.000,0.919,1.088,0.9928,1.0562,0.9615,1.0905,yes,yes,yes,yes,""
AVBLOCK,CD20 on IgD+ B cell,GCST90001762,20,17.32,0.154,0.238,0.989,1.000,0.869,1.151,0.9782,1.0290,0.9529,1.0562,yes,yes,yes,yes,""
CONDUCTIO,CD20 on IgD+ B cell,GCST90001762,20,17.32,0.154,0.638,1.000,1.000,0.899,1.112,0.9913,1.0297,0.9721,1.0500,yes,yes,yes,yes,""
AVBLOCK,CD20 on transitional B cell,GCST90001763,22,17.28,0.153,0.237,0.988,1.000,0.869,1.151,0.9780,1.0185,0.9577,1.0400,yes,yes,yes,yes,""
CONDUCTIO,CD20 on transitional B cell,GCST90001763,22,17.28,0.153,0.636,1.000,1.000,0.899,1.112,0.9873,1.0168,0.9725,1.0323,yes,yes,yes,yes,""
AVBLOCK,CD24 on CD24+ CD27+ B cell,GCST90001764,3,1.80,0.017,0.002,0.025,0.140,0.646,1.547,0.9198,1.1213,0.8305,1.2418,yes,no,no,no,""
CONDUCTIO,CD24 on CD24+ CD27+ B cell,GCST90001764,3,1.80,0.017,0.005,0.095,0.445,0.719,1.390,0.9553,1.1077,0.8851,1.1955,yes,yes,no,no,""
AVBLOCK,CD24 on IgD+ CD24+ B cell,GCST90001765,25,23.34,0.211,0.427,0.999,1.000,0.886,1.129,0.9661,1.0133,0.9426,1.0385,yes,yes,yes,yes,""
CONDUCTIO,CD24 on IgD+ CD24+ B cell,GCST90001765,25,23.34,0.211,0.853,1.000,1.000,0.913,1.096,0.9823,1.0181,0.9643,1.0370,yes,yes,yes,yes,""
AVBLOCK,CD24 on IgD+ CD38- B cell,GCST90001766,22,16.86,0.148,0.225,0.986,1.000,0.867,1.153,0.9674,1.0317,0.9358,1.0666,yes,yes,yes,yes,""
CONDUCTIO,CD24 on IgD+ CD38- B cell,GCST90001766,22,16.86,0.148,0.616,1.000,1.000,0.898,1.113,0.9765,1.0249,0.9525,1.0508,yes,yes,yes,yes,""
AVBLOCK,CD24 on IgD+ CD38- unswitched memory B cell,GCST90001767,21,35.48,0.316,0.758,1.000,1.000,0.906,1.103,0.9810,1.0408,0.9515,1.0731,yes,yes,yes,yes,""
CONDUCTIO,CD24 on IgD+ CD38- unswitched memory B cell,GCST90001767,21,35.48,0.316,0.987,1.000,1.000,0.929,1.077,0.9803,1.0248,0.9581,1.0485,yes,yes,yes,yes,""
AVBLOCK,CD24 on IgD+ CD38+ B cell,GCST90001768,25,18.81,0.168,0.283,0.994,1.000,0.874,1.144,0.9513,1.0225,0.9166,1.0612,yes,yes,yes,yes,""
CONDUCTIO,CD24 on IgD+ CD38+ B cell,GCST90001768,25,18.81,0.168,0.704,1.000,1.000,0.903,1.107,0.9668,1.0169,0.9420,1.0438,yes,yes,yes,yes,""
AVBLOCK,CD24 on IgD- CD38- B cell,GCST90001769,29,23.33,0.205,0.426,0.999,1.000,0.886,1.129,1.0020,1.0621,0.9724,1.0945,yes,yes,yes,yes,""
CONDUCTIO,CD24 on IgD- CD38- B cell,GCST90001769,29,23.33,0.205,0.853,1.000,1.000,0.913,1.096,0.9918,1.0372,0.9691,1.0615,yes,yes,yes,yes,""
AVBLOCK,CD24 on IgD- CD38dim B cell,GCST90001770,7,4.88,0.044,0.012,0.254,0.787,0.767,1.303,1.0225,1.2341,0.9280,1.3598,no,no,no,no,""
CONDUCTIO,CD24 on IgD- CD38dim B cell,GCST90001770,7,4.88,0.044,0.046,0.662,0.991,0.819,1.221,0.9694,1.1522,0.8867,1.2596,yes,no,no,no,""
AVBLOCK,CD24 on memory B cell,GCST90001771,31,26.72,0.240,0.532,1.000,1.000,0.893,1.120,0.9614,1.0280,0.9287,1.0641,yes,yes,yes,yes,""
CONDUCTIO,CD24 on memory B cell,GCST90001771,31,26.72,0.240,0.919,1.000,1.000,0.918,1.089,0.9799,1.0292,0.9554,1.0555,yes,yes,yes,yes,""
AVBLOCK,CD24 on unswitched memory B cell,GCST90001772,25,22.20,0.200,0.390,0.999,1.000,0.883,1.132,0.9749,1.0279,0.9487,1.0563,yes,yes,yes,yes,""
CONDUCTIO,CD24 on unswitched memory B cell,GCST90001772,25,22.20,0.200,0.823,1.000,1.000,0.911,1.098,0.9859,1.0258,0.9659,1.0470,yes,yes,yes,yes,""
AVBLOCK,CD24 on switched memory B cell,GCST90001773,38,31.26,0.276,0.660,1.000,1.000,0.901,1.110,1.0055,1.0606,0.9783,1.0902,yes,yes,yes,yes,""
CONDUCTIO,CD24 on switched memory B cell,GCST90001773,38,31.26,0.276,0.967,1.000,1.000,0.924,1.082,1.0018,1.0425,0.9813,1.0642,yes,yes,yes,yes,""
AVBLOCK,CD24 on transitional B cell,GCST90001774,20,14.21,0.130,0.154,0.954,1.000,0.856,1.168,0.9734,1.1045,0.9119,1.1790,yes,yes,no,no,""
CONDUCTIO,CD24 on transitional B cell,GCST90001774,20,14.21,0.130,0.478,1.000,1.000,0.889,1.124,0.9678,1.0611,0.9230,1.1127,yes,yes,yes,no,""
AVBLOCK,CD25 on B cell,GCST90001775,25,21.37,0.190,0.363,0.998,1.000,0.881,1.135,0.9746,1.0369,0.9440,1.0705,yes,yes,yes,yes,""
CONDUCTIO,CD25 on B cell,GCST90001775,25,21.37,0.190,0.797,1.000,1.000,0.909,1.100,0.9906,1.0415,0.9653,1.0687,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD20- CD38- B cell,GCST90001776,20,13.49,0.124,0.137,0.938,1.000,0.853,1.173,0.9540,1.0496,0.9082,1.1026,yes,yes,yes,no,""
CONDUCTIO,CD25 on CD20- CD38- B cell,GCST90001776,20,13.49,0.124,0.438,1.000,1.000,0.887,1.128,0.9808,1.0546,0.9448,1.0948,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD24+ CD27+ B cell,GCST90001777,24,24.02,0.227,0.448,1.000,1.000,0.887,1.127,0.9838,1.0144,0.9684,1.0305,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD24+ CD27+ B cell,GCST90001777,24,24.02,0.227,0.869,1.000,1.000,0.914,1.094,0.9828,1.0068,0.9706,1.0194,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD24+ B cell,GCST90001778,26,23.26,0.216,0.424,0.999,1.000,0.886,1.129,0.9830,1.0309,0.9591,1.0566,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD24+ B cell,GCST90001778,26,23.26,0.216,0.851,1.000,1.000,0.913,1.096,0.9921,1.0266,0.9747,1.0449,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD24- B cell,GCST90001779,24,24.92,0.217,0.476,1.000,1.000,0.889,1.124,0.9799,1.0360,0.9522,1.0662,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD24- B cell,GCST90001779,24,24.92,0.217,0.888,1.000,1.000,0.915,1.092,0.9970,1.0375,0.9767,1.0590,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD38- B cell,GCST90001780,29,22.42,0.205,0.397,0.999,1.000,0.884,1.132,0.9873,1.0255,0.9681,1.0459,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD38- B cell,GCST90001780,29,22.42,0.205,0.829,1.000,1.000,0.911,1.098,0.9923,1.0186,0.9790,1.0324,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD38- naive B cell,GCST90001781,25,37.39,0.337,0.795,1.000,1.000,0.909,1.100,0.9572,1.0181,0.9272,1.0510,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD38- naive B cell,GCST90001781,25,37.39,0.337,0.991,1.000,1.000,0.930,1.075,0.9611,1.0063,0.9386,1.0305,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD38- unswitched memory B cell,GCST90001782,24,34.95,0.354,0.747,1.000,1.000,0.906,1.104,0.9810,1.0258,0.9586,1.0498,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD38- unswitched memory B cell,GCST90001782,24,34.95,0.354,0.985,1.000,1.000,0.928,1.078,0.9858,1.0193,0.9689,1.0370,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD+ CD38+ B cell,GCST90001783,13,13.51,0.112,0.137,0.939,1.000,0.853,1.173,0.9386,1.0693,0.8776,1.1436,yes,yes,yes,no,""
CONDUCTIO,CD25 on IgD+ CD38+ B cell,GCST90001783,13,13.51,0.112,0.439,1.000,1.000,0.887,1.128,0.9632,1.0618,0.9159,1.1166,yes,yes,yes,no,""
AVBLOCK,CD25 on IgD+ CD38dim B cell,GCST90001784,23,22.18,0.194,0.389,0.999,1.000,0.883,1.132,0.9558,1.0127,0.9277,1.0434,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ CD38dim B cell,GCST90001784,23,22.18,0.194,0.822,1.000,1.000,0.911,1.098,0.9798,1.0256,0.9569,1.0500,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD- CD24- B cell,GCST90001785,26,20.05,0.177,0.322,0.997,1.000,0.878,1.140,0.9802,1.0898,0.9280,1.1511,yes,yes,yes,no,""
CONDUCTIO,CD25 on IgD- CD24- B cell,GCST90001785,26,20.05,0.177,0.752,1.000,1.000,0.906,1.104,0.9756,1.0562,0.9365,1.1003,yes,yes,yes,no,""
AVBLOCK,CD25 on IgD- CD27- B cell,GCST90001786,21,16.88,0.151,0.226,0.986,1.000,0.867,1.153,0.9749,1.1133,0.9104,1.1922,yes,yes,no,no,""
CONDUCTIO,CD25 on IgD- CD27- B cell,GCST90001786,21,16.88,0.151,0.617,1.000,1.000,0.898,1.113,0.9730,1.0707,0.9262,1.1249,yes,yes,yes,no,""
AVBLOCK,CD25 on IgD- CD38- B cell,GCST90001787,22,19.79,0.180,0.313,0.997,1.000,0.877,1.141,0.9472,1.0113,0.9157,1.0460,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD- CD38- B cell,GCST90001787,22,19.79,0.180,0.742,1.000,1.000,0.906,1.104,0.9718,1.0206,0.9476,1.0467,yes,yes,yes,yes,""
AVBLOCK,CD25 on IgD- CD38+ B cell,GCST90001788,20,13.09,0.118,0.127,0.927,1.000,0.851,1.175,0.9447,1.0767,0.8832,1.1517,yes,yes,yes,no,""
CONDUCTIO,CD25 on IgD- CD38+ B cell,GCST90001788,20,13.09,0.118,0.415,0.999,1.000,0.885,1.130,0.9603,1.0590,0.9131,1.1137,yes,yes,yes,no,""
AVBLOCK,CD25 on IgD- CD38dim B cell,GCST90001789,20,20.30,0.190,0.329,0.997,1.000,0.878,1.139,0.9382,1.0360,0.8914,1.0904,yes,yes,yes,no,""
CONDUCTIO,CD25 on IgD- CD38dim B cell,GCST90001789,20,20.30,0.190,0.761,1.000,1.000,0.907,1.103,0.9661,1.0406,0.9298,1.0813,yes,yes,yes,yes,""
AVBLOCK,CD25 on memory B cell,GCST90001790,24,23.53,0.223,0.432,1.000,1.000,0.886,1.128,0.9002,0.9671,0.8676,1.0035,yes,yes,no,no,""
CONDUCTIO,CD25 on memory B cell,GCST90001790,24,23.53,0.223,0.858,1.000,1.000,0.913,1.095,0.9424,0.9976,0.9151,1.0273,yes,yes,yes,yes,""
AVBLOCK,CD25 on naive-mature B cell,GCST90001791,23,23.22,0.201,0.422,0.999,1.000,0.886,1.129,0.9530,1.0513,0.9059,1.1059,yes,yes,yes,no,""
CONDUCTIO,CD25 on naive-mature B cell,GCST90001791,23,23.22,0.201,0.850,1.000,1.000,0.912,1.096,0.9515,1.0240,0.9162,1.0635,yes,yes,yes,yes,""
AVBLOCK,CD25 on unswitched memory B cell,GCST90001792,24,23.10,0.217,0.419,0.999,1.000,0.885,1.129,0.9976,1.0441,0.9744,1.0690,yes,yes,yes,yes,""
CONDUCTIO,CD25 on unswitched memory B cell,GCST90001792,24,23.10,0.217,0.847,1.000,1.000,0.912,1.096,0.9991,1.0364,0.9805,1.0561,yes,yes,yes,yes,""
AVBLOCK,CD25 on switched memory B cell,GCST90001793,20,20.51,0.186,0.336,0.998,1.000,0.879,1.138,0.9516,1.0670,0.8970,1.1319,yes,yes,yes,no,""
CONDUCTIO,CD25 on switched memory B cell,GCST90001793,20,20.51,0.186,0.769,1.000,1.000,0.907,1.102,0.9449,1.0451,0.8970,1.1009,yes,yes,yes,no,""
AVBLOCK,CD25 on IgD+ B cell,GCST90001794,27,22.97,0.201,0.415,0.999,1.000,0.885,1.130,0.9691,1.0191,0.9443,1.0459,yes,yes,yes,yes,""
CONDUCTIO,CD25 on IgD+ B cell,GCST90001794,27,22.97,0.201,0.844,1.000,1.000,0.912,1.096,0.9904,1.0284,0.9713,1.0486,yes,yes,yes,yes,""
AVBLOCK,CD25 on transitional B cell,GCST90001795,22,17.38,0.148,0.240,0.989,1.000,0.869,1.151,0.9418,1.0413,0.8942,1.0967,yes,yes,yes,no,""
CONDUCTIO,CD25 on transitional B cell,GCST90001795,22,17.38,0.148,0.641,1.000,1.000,0.900,1.112,0.9427,1.0165,0.9068,1.0567,yes,yes,yes,no,""
AVBLOCK,CD27 on CD20- B cell,GCST90001796,16,10.60,0.093,0.077,0.819,0.999,0.836,1.197,0.9436,1.0379,0.8983,1.0901,yes,yes,yes,no,""
CONDUCTIO,CD27 on CD20- B cell,GCST90001796,16,10.60,0.093,0.277,0.994,1.000,0.873,1.145,0.9715,1.0386,0.9386,1.0750,yes,yes,yes,yes,""
AVBLOCK,CD27 on CD20- CD38- B cell,GCST90001797,20,12.77,0.120,0.120,0.918,1.000,0.849,1.178,0.9551,1.0521,0.9086,1.1060,yes,yes,yes,no,""
CONDUCTIO,CD27 on CD20- CD38- B cell,GCST90001797,20,12.77,0.120,0.398,0.999,1.000,0.884,1.131,0.9805,1.0543,0.9445,1.0944,yes,yes,yes,yes,""
AVBLOCK,CD27 on CD24+ CD27+ B cell,GCST90001798,30,47.51,0.447,0.924,1.000,1.000,0.919,1.089,0.9864,1.0698,0.9459,1.1156,yes,yes,yes,no,""
CONDUCTIO,CD27 on CD24+ CD27+ B cell,GCST90001798,30,47.51,0.447,0.999,1.000,1.000,0.938,1.066,0.9818,1.0394,0.9534,1.0704,yes,yes,yes,yes,""
AVBLOCK,CD27 on T cell,GCST90001799,21,26.61,0.287,0.528,1.000,1.000,0.893,1.120,0.9747,1.0325,0.9462,1.0637,yes,yes,yes,yes,""
CONDUCTIO,CD27 on T cell,GCST90001799,21,26.61,0.287,0.918,1.000,1.000,0.918,1.089,0.9816,1.0242,0.9603,1.0470,yes,yes,yes,yes,""
AVBLOCK,CD27 on IgD+ CD24+ B cell,GCST90001800,31,40.88,0.362,0.851,1.000,1.000,0.913,1.096,0.9445,1.0057,0.9144,1.0388,yes,yes,yes,yes,""
CONDUCTIO,CD27 on IgD+ CD24+ B cell,GCST90001800,31,40.88,0.362,0.996,1.000,1.000,0.933,1.071,0.9656,1.0126,0.9422,1.0377,yes,yes,yes,yes,""
AVBLOCK,CD27 on IgD+ CD38- unswitched memory B cell,GCST90001801,23,54.51,0.542,0.966,1.000,1.000,0.924,1.082,0.9536,1.0154,0.9232,1.0489,yes,yes,yes,yes,""
CONDUCTIO,CD27 on IgD+ CD38- unswitched memory B cell,GCST90001801,23,54.51,0.542,1.000,1.000,1.000,0.942,1.062,0.9657,1.0122,0.9425,1.0370,yes,yes,yes,yes,""
AVBLOCK,CD27 on IgD- CD38- B cell,GCST90001802,31,38.92,0.348,0.821,1.000,1.000,0.910,1.098,0.9674,1.0549,0.9251,1.1031,yes,yes,yes,no,""
CONDUCTIO,CD27 on IgD- CD38- B cell,GCST90001802,31,38.92,0.348,0.994,1.000,1.000,0.932,1.073,0.9838,1.0492,0.9517,1.0846,yes,yes,yes,yes,""
AVBLOCK,CD27 on IgD- CD38+ B cell,GCST90001803,15,11.24,0.099,0.089,0.855,0.999,0.840,1.191,0.9249,1.1229,0.8369,1.2410,yes,no,no,no,""
CONDUCTIO,CD27 on IgD- CD38+ B cell,GCST90001803,15,11.24,0.099,0.312,0.997,1.000,0.877,1.141,0.9139,1.0811,0.8381,1.1789,yes,yes,yes,no,""
AVBLOCK,CD27 on IgD- CD38dim B cell,GCST90001804,31,48.66,0.471,0.933,1.000,1.000,0.920,1.087,0.9797,1.0438,0.9482,1.0785,yes,yes,yes,yes,""
CONDUCTIO,CD27 on IgD- CD38dim B cell,GCST90001804,31,48.66,0.471,0.999,1.000,1.000,0.939,1.065,0.9920,1.0321,0.9719,1.0534,yes,yes,yes,yes,""
AVBLOCK,CD27 on memory B cell,GCST90001805,25,35.26,0.321,0.753,1.000,1.000,0.906,1.104,0.9674,1.0158,0.9434,1.0417,yes,yes,yes,yes,""
CONDUCTIO,CD27 on memory B cell,GCST90001805,25,35.26,0.321,0.986,1.000,1.000,0.928,1.077,0.9750,1.0112,0.9568,1.0304,yes,yes,yes,yes,""
AVBLOCK,CD27 on unswitched memory B cell,GCST90001806,30,41.10,0.366,0.855,1.000,1.000,0.913,1.096,0.9627,1.0562,0.9178,1.1078,yes,yes,yes,no,""
CONDUCTIO,CD27 on unswitched memory B cell,GCST90001806,30,41.10,0.366,0.996,1.000,1.000,0.933,1.071,0.9841,1.0501,0.9517,1.0859,yes,yes,yes,yes,""
AVBLOCK,CD27 on Plasma Blast-Plasma Cell,GCST90001807,19,12.50,0.116,0.114,0.909,1.000,0.848,1.180,0.9734,1.0950,0.9160,1.1635,yes,yes,yes,no,""
CONDUCTIO,CD27 on Plasma Blast-Plasma Cell,GCST90001807,19,12.50,0.116,0.382,0.999,1.000,0.883,1.133,0.9728,1.0520,0.9343,1.0954,yes,yes,yes,yes,""
AVBLOCK,CD27 on switched memory B cell,GCST90001808,30,50.49,0.465,0.945,1.000,1.000,0.921,1.086,0.9767,1.0585,0.9370,1.1033,yes,yes,yes,no,""
CONDUCTIO,CD27 on switched memory B cell,GCST90001808,30,50.49,0.465,1.000,1.000,1.000,0.940,1.064,0.9776,1.0415,0.9462,1.0761,yes,yes,yes,yes,""
AVBLOCK,CD38 on CD20- B cell,GCST90001809,19,11.83,0.112,0.100,0.883,1.000,0.844,1.185,0.9156,1.0957,0.8347,1.2020,yes,no,yes,no,""
CONDUCTIO,CD38 on CD20- B cell,GCST90001809,19,11.83,0.112,0.345,0.998,1.000,0.880,1.137,0.9232,1.0567,0.8611,1.1329,yes,yes,yes,no,""
AVBLOCK,CD38 on CD3- CD19-,GCST90001810,18,23.47,0.223,0.431,1.000,1.000,0.886,1.128,0.9500,1.0472,0.9034,1.1012,yes,yes,yes,no,""
CONDUCTIO,CD38 on CD3- CD19-,GCST90001810,18,23.47,0.223,0.856,1.000,1.000,0.913,1.095,0.9566,1.0179,0.9264,1.0510,yes,yes,yes,yes,""
AVBLOCK,CD38 on IgD+ CD24- B cell,GCST90001811,17,13.88,0.120,0.146,0.947,1.000,0.855,1.170,0.9397,1.0505,0.8872,1.1127,yes,yes,yes,no,""
CONDUCTIO,CD38 on IgD+ CD24- B cell,GCST90001811,17,13.88,0.120,0.459,1.000,1.000,0.888,1.126,0.9521,1.0303,0.9141,1.0732,yes,yes,yes,yes,""
AVBLOCK,CD38 on IgD+ CD38+ B cell,GCST90001812,17,13.70,0.122,0.142,0.943,1.000,0.854,1.171,0.9581,1.0535,0.9123,1.1064,yes,yes,yes,no,""
CONDUCTIO,CD38 on IgD+ CD38+ B cell,GCST90001812,17,13.70,0.122,0.449,1.000,1.000,0.888,1.127,0.9729,1.0541,0.9335,1.0985,yes,yes,yes,yes,""
AVBLOCK,CD38 on IgD+ CD38dim B cell,GCST90001813,23,21.65,0.191,0.372,0.999,1.000,0.882,1.134,0.9519,1.0326,0.9128,1.0768,yes,yes,yes,yes,""
CONDUCTIO,CD38 on IgD+ CD38dim B cell,GCST90001813,23,21.65,0.191,0.806,1.000,1.000,0.909,1.100,0.9667,1.0275,0.9368,1.0604,yes,yes,yes,yes,""
AVBLOCK,CD38 on IgD- CD38+ B cell,GCST90001814,14,9.55,0.081,0.060,0.746,0.997,0.828,1.208,0.9816,1.0146,0.9650,1.0321,yes,yes,yes,yes,""
CONDUCTIO,CD38 on IgD- CD38+ B cell,GCST90001814,14,9.55,0.081,0.222,0.985,1.000,0.867,1.154,0.9894,1.0142,0.9768,1.0272,yes,yes,yes,yes,""
AVBLOCK,CD38 on IgD- CD38dim B cell,GCST90001815,20,17.76,0.161,0.251,0.991,1.000,0.870,1.149,0.9890,1.0477,0.9600,1.0793,yes,yes,yes,yes,""
CONDUCTIO,CD38 on IgD- CD38dim B cell,GCST90001815,20,17.76,0.161,0.658,1.000,1.000,0.901,1.110,0.9829,1.0225,0.9631,1.0435,yes,yes,yes,yes,""
AVBLOCK,CD38 on naive-mature B cell,GCST90001816,26,21.18,0.187,0.358,0.998,1.000,0.881,1.136,0.9473,1.0307,0.9070,1.0765,yes,yes,yes,no,""
CONDUCTIO,CD38 on naive-mature B cell,GCST90001816,26,21.18,0.187,0.791,1.000,1.000,0.909,1.101,0.9601,1.0181,0.9314,1.0495,yes,yes,yes,yes,""
AVBLOCK,CD38 on Plasma Blast-Plasma Cell,GCST90001817,15,9.63,0.091,0.061,0.753,0.997,0.828,1.207,0.9672,1.1108,0.9006,1.1930,yes,yes,no,no,""
CONDUCTIO,CD38 on Plasma Blast-Plasma Cell,GCST90001817,15,9.63,0.091,0.227,0.986,1.000,0.867,1.153,0.9527,1.0635,0.9001,1.1256,yes,yes,yes,no,""
AVBLOCK,CD38 on IgD+ B cell,GCST90001818,15,10.68,0.093,0.079,0.824,0.999,0.836,1.196,0.9226,1.0920,0.8457,1.1913,yes,yes,yes,no,""
CONDUCTIO,CD38 on IgD+ B cell,GCST90001818,15,10.68,0.093,0.282,0.994,1.000,0.874,1.145,0.9068,1.0287,0.8497,1.0979,yes,yes,no,no,""
AVBLOCK,CD38 on transitional B cell,GCST90001819,24,22.66,0.204,0.405,0.999,1.000,0.884,1.131,0.9340,1.0073,0.8984,1.0473,yes,yes,yes,no,""
CONDUCTIO,CD38 on transitional B cell,GCST90001819,24,22.66,0.204,0.835,1.000,1.000,0.911,1.097,0.9336,1.0003,0.9010,1.0365,yes,yes,yes,no,""
AVBLOCK,IgD on IgD+ CD24+ B cell,GCST90001820,28,42.41,0.304,0.872,1.000,1.000,0.914,1.094,0.9578,1.0412,0.9174,1.0870,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD24+ B cell,GCST90001820,28,42.41,0.304,0.997,1.000,1.000,0.934,1.070,0.9819,1.0347,0.9557,1.0630,yes,yes,yes,yes,""
AVBLOCK,IgD on IgD+ CD24- B cell,GCST90001821,29,44.49,0.329,0.896,1.000,1.000,0.916,1.092,0.9501,1.0226,0.9147,1.0622,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD24- B cell,GCST90001821,29,44.49,0.329,0.998,1.000,1.000,0.936,1.068,0.9695,1.0241,0.9425,1.0534,yes,yes,yes,yes,""
AVBLOCK,IgD on IgD+ CD38-  B cell,GCST90001822,27,31.67,0.229,0.670,1.000,1.000,0.901,1.110,0.9539,1.0358,0.9143,1.0807,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD38-  B cell,GCST90001822,27,31.67,0.229,0.970,1.000,1.000,0.925,1.082,0.9688,1.0233,0.9418,1.0526,yes,yes,yes,yes,""
AVBLOCK,IgD on IgD+ CD38- unswitched memory B cell,GCST90001823,17,45.91,0.344,0.910,1.000,1.000,0.917,1.090,0.9712,1.0484,0.9336,1.0907,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD38- unswitched memory B cell,GCST90001823,17,45.91,0.344,0.999,1.000,1.000,0.937,1.067,0.9875,1.0457,0.9587,1.0771,yes,yes,yes,yes,""
AVBLOCK,IgD on IgD+ CD38+ B cell,GCST90001824,25,47.08,0.341,0.921,1.000,1.000,0.918,1.089,0.9534,1.0410,0.9111,1.0893,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD38+ B cell,GCST90001824,25,47.08,0.341,0.999,1.000,1.000,0.938,1.066,0.9596,1.0285,0.9259,1.0659,yes,yes,yes,yes,""
AVBLOCK,IgD on IgD+ CD38dim B cell,GCST90001825,22,37.52,0.269,0.797,1.000,1.000,0.909,1.100,0.9554,1.0157,0.9257,1.0482,yes,yes,yes,yes,""
CONDUCTIO,IgD on IgD+ CD38dim B cell,GCST90001825,22,37.52,0.269,0.992,1.000,1.000,0.930,1.075,0.9781,1.0239,0.9552,1.0484,yes,yes,yes,yes,""
