id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001468,CD62L- myeloid Dendritic Cell Absolute Count,3,IVW,314.189685168448,39.7103095813487,0.0477160604696226,0.0253860593098819,1.04887279659025,0.997961464863127,1.1023813866179,0.0601603385945292,0.497194129733342
ebi-a-GCST90001469,CD62L- myeloid Dendritic Cell %Dendritic Cell,3,IVW,338.762355947661,37.5463983096398,0.0466937095993055,0.024962464490628,1.04780102852866,0.997769769864766,1.10034100906316,0.061406526599481,0.497194129733342
ebi-a-GCST90001472,CD62L- CD86+ myeloid Dendritic Cell Absolute Count,3,IVW,424.072978429455,34.6901034185579,0.0421264056246249,0.0225258369954614,1.043026314811,0.997977812495265,1.09010829676474,0.0614647684291308,0.497194129733342
ebi-a-GCST90001473,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,3,IVW,433.103536918603,30.3396706993171,0.041698663345263,0.0223728644773972,1.04258026376192,0.997850163186115,1.08931545685695,0.0623490514813472,0.497194129733342
ebi-a-GCST90001986,CD14 on CD14+ CD16- monocyte,1,Wald,54.8963615939771,54.8963615939771,-0.108191817830953,0.0581593979158626,0.897455431964519,0.800767819085282,1.00581745815243,0.062848224014599,0.497194129733342
ebi-a-GCST90001604,T cell %lymphocyte,2,IVW,58.5447978122298,52.7411510792609,-0.0901763762947144,0.0485777454388335,0.913770003689869,0.830781248744355,1.00504870675087,0.0634063885914379,0.497194129733342
ebi-a-GCST90001459,Myeloid Dendritic Cell %Dendritic Cell,1,Wald,475.452706722189,475.452706722189,0.06371907957814,0.0344937679769895,1.06579295369719,0.996118845567749,1.14034045757176,0.0647089559290511,0.497194129733342
ebi-a-GCST90001903,CD86 on myeloid Dendritic Cell,1,Wald,280.940853277835,280.940853277835,0.076742494226328,0.0415438799076212,1.07976399512742,0.995327440139875,1.17136355148582,0.0647089559290511,0.497194129733342
ebi-a-GCST90001559,Terminally Differentiated CD8+ T cell %T cell,2,IVW,40.5880695074344,30.0149900734529,-0.0938214742966022,0.051296036416778,0.910445285618055,0.823360036405086,1.00674137856301,0.0673966186862783,0.504895389615419
ebi-a-GCST90002029,CD39 on CD39+ CD8+ T cell,2,IVW,47.1987604448077,44.3639947470334,-0.0945063048171009,0.0517678626840193,0.909821998346653,0.822035813880171,1.00698297409724,0.067913754336424,0.504895389615419
ebi-a-GCST90001584,CD14- CD16+ monocyte %monocyte,2,IVW,114.888246554404,34.214432866988,-0.0940619131472105,0.0519006681404193,0.910226405514734,0.822187158829333,1.00769283538306,0.0699329151297737,0.504895389615419
ebi-a-GCST90002069,CD4 on CD39+ secreting CD4 regulatory T cell,3,IVW,69.5913349645063,35.5873959571938,0.0624084570565747,0.0345220765610833,1.06439701642198,0.99475896937486,1.1389100711301,0.0706401276187024,0.504895389615419
ebi-a-GCST90001979,CD16 on CD14- CD16+ monocyte,5,IVW,530.022715379666,42.1685113940574,-0.0299747901474655,0.0166002250050858,0.970469998645681,0.93940251217672,1.00256493469348,0.0709674359239974,0.504895389615419
ebi-a-GCST90001592,CD8+ T cell Absolute Count,1,Wald,44.1476021622694,44.1476021622694,0.127381558028617,0.0710317965023847,1.13585032792167,0.988229062850227,1.30552319896233,0.0729244333829004,0.504895389615419
