id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90002006,CD64 on monocyte,8,IVW,120.788405817565,29.9559420042381,-0.0450813852454377,0.0236811440095492,0.95591968090937,0.912564576279346,1.00133454672927,0.0569515149363127,0.616685806760228
ebi-a-GCST90002089,CD11c on monocyte,2,IVW,61.5826249354946,34.9948140758152,-0.104932225459838,0.0552492597602185,0.900385543734597,0.807977736570636,1.00336196243122,0.0575314497108303,0.616685806760228
ebi-a-GCST90001937,CD25 on resting CD4 regulatory T cell,1,Wald,41.9022702324039,41.9022702324039,-0.964361768368618,0.509585927770859,0.381226432879722,0.140415388766259,1.03502610649125,0.058432126009985,0.616685806760228
ebi-a-GCST90002117,HLA DR on HLA DR+ Natural Killer,6,IVW,98.5780432169117,30.2221817778523,-0.0800538084622901,0.0423845716023793,0.923066676251871,0.849482813996429,1.0030245165269,0.058925497186315,0.616685806760228
ebi-a-GCST90002073,SSC-A on monocyte,8,IVW,153.5163811627,34.679012345679,-0.0636012935726545,0.033848141234749,0.938379062718668,0.878144912647336,1.00274482339613,0.0602419268642935,0.619777111976715
ebi-a-GCST90001417,CD24+ CD27+ B cell %B cell,3,IVW,31.4542981721219,30.826377625259,-0.107129100749229,0.0577799749563171,0.898409680140264,0.802215622180934,1.00613841347967,0.0637267134590466,0.630195898862353
ebi-a-GCST90001584,CD14- CD16+ monocyte %monocyte,2,IVW,114.888246554404,34.214432866988,-0.127554333219849,0.0693563412624597,0.88024558795786,0.768363183759393,1.00841934061473,0.0658981763977719,0.630195898862353
ebi-a-GCST90001630,CD8+ Natural Killer T Absolute Count,2,IVW,67.248370251957,30.6559252832903,-0.177237159441301,0.0970326578473359,0.837581120695796,0.692517916660026,1.01303102326872,0.0677641100247979,0.630195898862353
ebi-a-GCST90001740,CD19 on switched memory B cell,2,IVW,37.546803271662,30.6136562529259,-0.185651065078689,0.101690067034506,0.830563356984565,0.680475407463118,1.01375521054794,0.0679021184400732,0.630195898862353
ebi-a-GCST90001586,CD14+ CD16- monocyte %monocyte,1,Wald,302.81048460201,302.81048460201,0.123805183037332,0.0679666545849946,1.13179535658617,0.990634670495993,1.2930707629571,0.0685221240937649,0.630195898862353
ebi-a-GCST90001587,CD16+ monocyte %monocyte,1,Wald,292.414307320648,292.414307320648,-0.125788436751979,0.0690554225741116,0.881801383815399,0.770175348298191,1.00960603610192,0.0685221240937649,0.630195898862353
ebi-a-GCST90001579,CD14- CD16+ monocyte Absolute Count,1,Wald,204.814988197075,204.814988197075,-0.147741565743945,0.0811072664359862,0.862654025488254,0.735862640108314,1.01129195467996,0.0685221240937649,0.630195898862353
ebi-a-GCST90001992,CCR2 on CD14+ CD16+ monocyte,2,IVW,46.7094890821565,31.3816636917149,0.205111433102029,0.115172980656723,1.22766185951056,0.979583684818495,1.53856547904449,0.0749289704396794,0.678746635371186
ebi-a-GCST90002076,SSC-A on Natural Killer,1,Wald,104.592518386348,104.592518386348,0.139027992277992,0.0783629343629344,1.14915626705507,0.985542173715291,1.33993263944627,0.0760375143414178,0.678746635371186
ebi-a-GCST90002014,CCR2 on CD62L+ myeloid Dendritic Cell,3,IVW,81.7925208299941,55.0254659976268,0.0674210103856637,0.0385549370299351,1.06974575745573,0.991886427962032,1.15371674955345,0.0803429259316618,0.706784870152445
ebi-a-GCST90001879,HVEM on Terminally Differentiated CD4+ T cell,1,Wald,35.8914300693497,35.8914300693497,-0.130054575986566,0.0749731318219983,0.878047509303817,0.758053045924447,1.01703625193464,0.0827970665255499,0.707856611000124
ebi-a-GCST90001881,HVEM on CD8+ T cell,1,Wald,43.9893072028807,43.9893072028807,-0.119887770897833,0.0691122291021672,0.887019980587219,0.774647075393271,1.01569407663678,0.0827970665255499,0.707856611000124
ebi-a-GCST90001897,CD28 on CD39+ CD8+ T cell,2,IVW,43.6468515739193,35.4369087849456,-0.0386923669191256,0.0224023136215311,0.962046620993858,0.920718531180768,1.00522979566704,0.0841390371834534,0.709338827366059
ebi-a-GCST90001415,IgD+ CD24- B cell %B cell,1,Wald,30.3454218475278,30.3454218475278,0.123426501035197,0.0718739130434783,1.13136684719405,0.982704938162194,1.30251807355682,0.0859309017641948,0.714521333847483
ebi-a-GCST90001622,Natural Killer T %T cell,5,IVW,58.5308733141622,34.8296979962968,0.108092569147918,0.0643554505089474,1.11415087661031,0.982117706409861,1.26393421862764,0.0930316751075279,0.756587606436746
ebi-a-GCST90001785,CD25 on IgD- CD24- B cell,2,IVW,63.0920790513286,41.3215342053446,0.175247747018668,0.105809407588556,1.19154138087255,0.968372267419234,1.46614159667689,0.0976694496191203,0.756587606436746
ebi-a-GCST90001928,CD127 on CD28+ CD45RA- CD8+ T cell,1,Wald,32.4228861004034,32.4228861004034,0.0728390737040085,0.0444190666509933,1.07555743751241,0.985878362166837,1.17339404715781,0.101043535734807,0.756587606436746
ebi-a-GCST90001871,HVEM on T cell,1,Wald,52.6249552182424,52.6249552182424,-0.102019203910615,0.0624259776536313,0.903012210136598,0.799016150433425,1.02054389165157,0.102207880935442,0.756587606436746
ebi-a-GCST90001873,HVEM on Effector Memory CD8+ T cell,1,Wald,52.2620701966103,52.2620701966103,-0.102269163458173,0.0625789289464473,0.902786521820762,0.79857701675035,1.02059474150384,0.102207880935442,0.756587606436746
ebi-a-GCST90001876,HVEM on Central Memory CD4+ T cell,1,Wald,55.3263304616783,55.3263304616783,-0.102269163458173,0.0625789289464473,0.902786521820762,0.79857701675035,1.02059474150384,0.102207880935442,0.756587606436746
ebi-a-GCST90001875,HVEM on CD4+ T cell,1,Wald,57.8389880249621,57.8389880249621,-0.0997892759562841,0.0610614754098361,0.905028109126487,0.802944432135224,1.02009036432439,0.102207880935442,0.756587606436746
ebi-a-GCST90001880,HVEM on CD45RA- CD4+ T cell,1,Wald,59.7577537269727,59.7577537269727,-0.0972646471371505,0.0595166444740346,0.907315855813395,0.807415179470221,1.01957714338557,0.102207880935442,0.756587606436746
ebi-a-GCST90001882,HVEM on Central Memory CD8+ T cell,1,Wald,64.6003093772191,64.6003093772191,-0.0944964424320828,0.0578227684346701,0.909830971405746,0.812345880293052,1.01901470372509,0.102207880935442,0.756587606436746
ebi-a-GCST90002098,CD45RA on naive CD4+ T cell,10,IVW,76.1066734719622,33.9979484758775,-0.0386797543582001,0.0237925334470854,0.962058754941998,0.918224724936157,1.00798532518812,0.104011408185424,0.756717594418506
ebi-a-GCST90001410,IgD- CD38+ B cell %B cell,1,Wald,32.2132943754565,32.2132943754565,0.206488272921109,0.127520966595593,1.22935331740919,0.957477725286532,1.57842792486134,0.105393572024011,0.756717594418506
ebi-a-GCST90001995,CX3CR1 on monocyte,3,IVW,148.32806357908,70.581252478482,0.0565812577949898,0.0350002340755616,1.05821259932917,0.988052741085918,1.13335438364179,0.105965396253003,0.756717594418506
