Outcome,Immunophenotype,GWAS Catalog accession,Instruments,Method,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
I9_LBBB,CD28- CD8dim T cell %T cell,GCST90001661,25,IVW,1.02892389614415,0.961759439960814,1.10077878112598,0.407730965499491,0.984642438626707
I9_LBBB,CD20- B cell %B cell,GCST90001419,19,IVW,1.00834674008142,0.922652372313361,1.10200025355541,0.854457044035273,0.984642438626707
I9_LBBB,CD20- B cell Absolute Count,GCST90001421,22,IVW,1.02787660628011,0.981895335953568,1.07601113789981,0.238984197263947,0.982405835569941
I9_LBBB,CD45RA on Terminally Differentiated CD8+ T cell,GCST90002101,14,IVW,1.04465882603043,0.9360061499852,1.16592403032879,0.435547971471362,0.984642438626707
I9_LBBB,CD3 on naive CD8+ T cell,GCST90001838,25,IVW,1.04277347423555,0.986260252835622,1.10252493238264,0.140661433377581,0.982284245304452
I9_LBBB,CD3 on CD28+ CD45RA+ CD8+ T cell,GCST90001864,25,IVW,1.07982820218131,1.00523880609359,1.15995218166852,0.0354587217597695,0.873756348899723
I9_LBBB,IgD+ B cell %Lymphocyte,GCST90001424,18,IVW,0.964924669763927,0.910555660008347,1.02254003704781,0.227549684196349,0.982405835569941
I9_LBBB,Naive-mature B cell %lymphocyte,GCST90001437,21,IVW,0.867546434199683,0.775087101142636,0.971035144802494,0.0134658652920527,0.677394723562168
I9_LBBB,IgD+ CD24- B cell %lymphocyte,GCST90001441,21,IVW,0.880924142778742,0.778811678770156,0.996424895111881,0.0436978570882314,0.954921449513042
I9_LBBB,IgD+ CD24- B cell %B cell,GCST90001415,18,IVW,1.02127776420438,0.956939509004493,1.08994169625554,0.525952801497903,0.984642438626707
I9_LBBB,CD19 on B cell,GCST90002028,24,IVW,1.03619823342912,0.974454333011297,1.10185438412863,0.256616578465091,0.982405835569941
I9_LBBB,CCR7 on naive CD4+ T cell,GCST90001907,24,IVW,1.02766154802659,0.980454900531099,1.07714108697946,0.255418687593746,0.982405835569941
I9_LBBB,CD28 on CD39+ activated CD4 regulatory T cell,GCST90001886,19,IVW,1.01916175137151,0.965551370952083,1.0757487449212,0.491165465723034,0.984642438626707
I9_LBBB,CD28 on activated & secreting CD4 regulatory T cell,GCST90001889,25,IVW,0.980990415966573,0.946603013342513,1.01662701539496,0.291784009338507,0.984642438626707
I9_LBBB,CD28 on CD4 regulatory T cell,GCST90001899,25,IVW,0.996309060274181,0.967875753932335,1.02557765245333,0.802342191725427,0.984642438626707
I9_LBBB,CD28 on activated CD4 regulatory T cell,GCST90001902,18,IVW,1.03010975215309,0.963364500604965,1.10147934744798,0.385412114041131,0.984642438626707
I9_LBBB,CD25 on activated CD4 regulatory T cell,GCST90001939,17,IVW,1.0480156223288,0.933300149759907,1.17683121011795,0.427823060782109,0.984642438626707
I9_LBBB,CD3 on CD39+ secreting CD4 regulatory T cell,GCST90001856,27,IVW,1.04326160182116,0.973166377238202,1.11840564500724,0.232677444930594,0.982405835569941
I9_LBBB,BAFF-R on CD20- CD38- B cell,GCST90001701,17,IVW,0.985034015589951,0.929200901174045,1.04422198756297,0.612503754517626,0.984642438626707
I9_LBBB,SSC-A on CD8+ T cell,GCST90002082,18,IVW,0.998058245265652,0.946934446344227,1.05194215374508,0.942243946969042,0.987549834209795
I9_LBBB,CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+,GCST90001526,24,IVW,0.990164244526297,0.947473405095002,1.03477862900017,0.660235412376603,0.984642438626707
I9_LBBB,CD33dim HLA DR+ CD11b- %CD33dim HLA DR+,GCST90001528,24,IVW,1.02085334736818,0.984878534876618,1.05814221746988,0.259505165306006,0.982892620925857
I9_LBBB,CD25 on naive-mature B cell,GCST90001791,23,IVW,0.963447143413148,0.889421278333567,1.04363412565314,0.361278539233958,0.984642438626707
I9_LBBB,CD20- CD38- B cell Absolute Count,GCST90001423,14,IVW,1.09813865686723,0.954330387074898,1.26361742855363,0.191126881210281,0.982405835569941
I9_LBBB,CD25 on B cell,GCST90001775,25,IVW,0.98274916264008,0.934583793748276,1.03339681591987,0.497325141769276,0.984642438626707
I9_LBBB,FSC-A on plasmacytoid Dendritic Cell,GCST90001964,26,IVW,1.02973620343169,0.991946648846811,1.06896540241416,0.124510175522604,0.982284245304452
I9_LBBB,HLA DR on CD33+ HLA DR+ CD14-,GCST90002108,25,IVW,1.01273019906793,0.973168997036091,1.0538996404816,0.533799298569489,0.984642438626707
I9_LBBB,CD28 on CD28+ CD45RA- CD8+ T cell,GCST90001893,17,IVW,1.01400811373098,0.906453780118133,1.13432419530345,0.807876034529766,0.984642438626707
I9_LBBB,CD19 on switched memory B cell,GCST90001740,27,IVW,0.966022274049532,0.884452981779838,1.05511435111214,0.442467186626939,0.984642438626707
I9_LBBB,CD19 on IgD+ CD24- B cell,GCST90001725,25,IVW,0.994876051206579,0.959368110738319,1.03169820445947,0.781745006595471,0.984642438626707
I9_LBBB,FSC-A on granulocyte,GCST90001966,21,IVW,0.9913601251135,0.921791821510502,1.0661787995196,0.815174327688813,0.984642438626707
I9_LBBB,CD3 on Naive CD4+ T cell,GCST90001842,30,IVW,1.05986727421448,1.00384551293233,1.11901545056421,0.0358586736894551,0.873756348899723
I9_LBBB,CCR7 on naive CD8+ T cell,GCST90001908,24,IVW,0.994957921727237,0.915185832929101,1.08168333729492,0.905633243567604,0.984642438626707
I9_LBBB,CD25++ CD4+ T cell Absolute Count,GCST90001504,23,IVW,1.01057165760485,0.951627078760123,1.07316731306639,0.731623460572559,0.984642438626707
I9_LBBB,CD25++ CD4+ T cell %CD4+ T cell,GCST90001505,26,IVW,0.957746540051257,0.89402765728801,1.02600677675082,0.219044399940538,0.982405835569941
I9_LBBB,Memory B cell %lymphocyte,GCST90001436,28,IVW,0.983657273874596,0.944681745429906,1.02424084844158,0.424387262910369,0.984642438626707
I9_LBBB,CD4 on monocyte,GCST90001958,15,IVW,1.00687475590724,0.904239725531258,1.1211592959905,0.900601491944397,0.984642438626707
I9_LBBB,SSC-A on T cell,GCST90002080,22,IVW,0.968070403603165,0.896400388680756,1.04547066039499,0.408295868937266,0.984642438626707
I9_LBBB,CD28+ CD45RA+ CD8dim T cell %T cell,GCST90001664,41,IVW,0.99511643899453,0.985271908743838,1.00505933272742,0.334489406478858,0.984642438626707
I9_LBBB,CD16-CD56 on HLA DR+ Natural Killer,GCST90001885,24,IVW,1.02072447774849,0.978537306677161,1.06473044243234,0.34083502016695,0.984642438626707
I9_LBBB,CD20 on IgD+ CD38- unswitched memory B cell,GCST90001750,19,IVW,0.981604817454594,0.902538784082291,1.06759735386863,0.664770864879036,0.984642438626707
I9_LBBB,FSC-A on HLA DR+ CD8+ T cell,GCST90001978,18,IVW,0.976453672158505,0.932643422093552,1.02232187702728,0.308966006324397,0.984642438626707
I9_LBBB,CD11b on CD14+ monocyte,GCST90002091,20,IVW,0.943758644058267,0.901218542895467,0.988306760059652,0.0139000285272675,0.677394723562168
I9_LBBB,CD11b on Monocytic Myeloid-Derived Suppressor Cells,GCST90002094,16,IVW,0.91219345130089,0.866526031895714,0.960267622630836,0.000452825476762861,0.165507711756826
I9_LBBB,CD45 on HLA DR+ CD4+ T cell,GCST90001920,18,IVW,0.999307485062341,0.989316197068877,1.00939967692867,0.892513681246255,0.984642438626707
I9_LBBB,CD11c+ HLA DR++ monocyte Absolute Count,GCST90001456,17,IVW,0.979124370299928,0.890122539832637,1.07702534158441,0.664369588824175,0.984642438626707
I9_LBBB,CD28 on CD45RA+ CD4+ T cell,GCST90001890,13,IVW,1.1001130115104,1.00120013942771,1.20879791206008,0.0471497556630924,0.963471329495949
I9_LBBB,CD25 on CD4+ T cell,GCST90001960,16,IVW,0.964037788333881,0.924902550181334,1.00482894890221,0.0832441761520253,0.963734033871956
I9_LBBB,CD4 on resting CD4 regulatory T cell,GCST90002064,13,IVW,0.959162384873666,0.861169642089801,1.06830575021664,0.448266688196826,0.984642438626707
I9_LBBB,CD86 on myeloid Dendritic Cell,GCST90001903,22,IVW,1.07703922145089,0.982791461788359,1.18032515507684,0.112179552903999,0.963734033871956
I9_LBBB,CD19 on IgD+ CD38dim B cell,GCST90001730,24,IVW,0.991216649057484,0.955850029386736,1.02789183989367,0.634126567014161,0.984642438626707
I9_LBBB,CD19 on IgD- CD38dim B cell,GCST90001735,28,IVW,1.01273902842367,0.949090280745272,1.08065624577583,0.7022876072402,0.984642438626707
I9_LBBB,CD38 on CD3- CD19-,GCST90001810,18,IVW,1.01252372035868,0.945999285096712,1.0837262780639,0.719632215230114,0.984642438626707
I9_LBBB,CD25 on memory B cell,GCST90001790,24,IVW,1.01447290719163,0.953170981781867,1.07971738449479,0.651380482357574,0.984642438626707
I9_LBBB,CD25 on unswitched memory B cell,GCST90001792,24,IVW,1.02687679577934,0.988891210432703,1.06632149480694,0.167857834901991,0.982405835569941
I9_LBBB,CD62L- monocyte Absolute Count,GCST90001450,20,IVW,0.988119746534634,0.927580511661782,1.05261011978622,0.711008583397538,0.984642438626707
I9_LBBB,CD62L- monocyte %monocyte,GCST90001451,23,IVW,0.951491034716779,0.884378080762863,1.02369700113493,0.182720560900267,0.982405835569941
I9_LBBB,HLA DR on Dendritic Cell,GCST90002106,19,IVW,0.948198175914172,0.900865754544285,0.99801749180906,0.04175463057159,0.954921449513042
I9_LBBB,Naive CD4-CD8- T cell %T cell,GCST90001568,20,IVW,0.907049112716179,0.815350410478223,1.0090607453017,0.0727937570036243,0.963734033871956
I9_LBBB,B cell %lymphocyte,GCST90001644,35,IVW,0.964421343898897,0.898853662646668,1.03477191807736,0.313225259806975,0.984642438626707
I9_LBBB,CD24+ CD27+ B cell %lymphocyte,GCST90001442,24,IVW,0.99687275633369,0.958534759773472,1.03674413701511,0.875608916347091,0.984642438626707
I9_LBBB,Naive-mature B cell %B cell,GCST90001408,29,IVW,1.00972982961477,0.953921921212944,1.06880270401741,0.738534867888694,0.984642438626707
I9_LBBB,Terminally Differentiated CD8+ T cell %CD8+ T cell,GCST90001558,23,IVW,0.991671179528184,0.913367929320288,1.07668738603364,0.842029329348221,0.984642438626707
I9_LBBB,HVEM on Effector Memory CD8+ T cell,GCST90001873,18,IVW,0.986207463373666,0.931526510971015,1.04409820800493,0.633206638413799,0.984642438626707
I9_LBBB,CCR2 on CD14- CD16+ monocyte,GCST90001982,28,IVW,0.978551752974488,0.937542916577625,1.02135434689742,0.320886658006037,0.984642438626707
I9_LBBB,HLA DR on CD14+ CD16- monocyte,GCST90001988,22,IVW,1.01514669275478,0.944423620255513,1.09116585577579,0.683255537815119,0.984642438626707
I9_LBBB,HLA DR on CD14+ monocyte,GCST90001991,21,IVW,1.01300198860958,0.939947233315579,1.09173471930678,0.735157398148897,0.984642438626707
I9_LBBB,CD64 on CD14- CD16-,GCST90002001,16,IVW,0.951462680135304,0.835302659256977,1.08377630749497,0.453880859173683,0.984642438626707
I9_LBBB,CD62L- Dendritic Cell Absolute Count,GCST90001462,18,IVW,1.01152344837787,0.960883746398484,1.06483192212718,0.66193125522138,0.984642438626707
I9_LBBB,FSC-A on HLA DR+ CD4+ T cell,GCST90001977,17,IVW,1.02103427883925,0.949750507602121,1.09766827205691,0.57292589469162,0.984642438626707
I9_LBBB,CD45 on CD4+ T cell,GCST90001916,13,IVW,1.04927034431333,0.926357569815895,1.18849167031066,0.449282613147507,0.984642438626707
I9_LBBB,CD64 on CD14+ CD16- monocyte,GCST90001987,35,IVW,0.99815078599989,0.973763233091974,1.02314911647326,0.883400116493021,0.984642438626707
I9_LBBB,CD4+ T cell %leukocyte,GCST90001606,13,IVW,0.931366566726619,0.804387033279112,1.07839093089301,0.341707431453411,0.984642438626707
I9_LBBB,Effector Memory CD4+ T cell Absolute Count,GCST90001542,23,IVW,0.982254697310248,0.94438327713767,1.02164482763008,0.372107393568056,0.984642438626707
