Outcome,Instrument set,Immunophenotype,GWAS Catalog accession,Instruments,Method,beta,SE,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
CONDUCTIO,all instruments,HLA DR on CD14+ CD16+ monocyte,GCST90002007,19,IVW,-0.0048486419021617,0.00989318885603452,0.99516309378694,0.97605212028845,1.01464825765956,0.624063850190064,0.976120388751442
CONDUCTIO,all instruments,BAFF-R on IgD+ CD38- naive B cell,GCST90001706,28,IVW,-0.0113750973948623,0.0106327927552803,0.988689354412168,0.968298016119401,1.00951011285292,0.284703596293873,0.96753368259999
CONDUCTIO,all instruments,Transitional B cell %lymphocyte,GCST90001578,26,IVW,-0.0080987055819573,0.0213910369031061,0.991934000582008,0.951205512879651,1.03440639082494,0.704982873302786,0.976120388751442
CONDUCTIO,all instruments,CD45 on CD8+ T cell,GCST90001917,26,IVW,0.00202964858053919,0.00425624898480676,1.00203170971144,0.993707283167142,1.010425871155,0.63345952659973,0.976120388751442
CONDUCTIO,all instruments,CD19 on memory B cell,GCST90001736,24,IVW,-0.0200892576495185,0.0174231540574891,0.980111186981585,0.947206038656237,1.01415943273466,0.248901879716816,0.96753368259999
CONDUCTIO,all instruments,CD33 on CD14+ monocyte,GCST90001946,21,IVW,0.00303061869244916,0.0108389704953144,1.00303521565999,0.981951104637947,1.02457203734705,0.779781395526148,0.978772201123906
CONDUCTIO,all instruments,BAFF-R on IgD- CD24- B cell,GCST90001710,22,IVW,-0.00218626444794507,0.012680933516413,0.997816123687491,0.973321437567223,1.02292724506231,0.863118639158937,0.983238083759089
CONDUCTIO,all instruments,FSC-A on lymphocyte,GCST90001971,17,IVW,-0.00507276737194216,0.0155952602489581,0.994940077383798,0.964988130749832,1.02582169255832,0.744972023515782,0.978772201123906
CONDUCTIO,all instruments,FSC-A on T cell,GCST90001972,22,IVW,-0.000858983189744357,0.0142039035853717,0.999141385630705,0.971709260267069,1.02734794171424,0.951777207614261,0.997430722004315
CONDUCTIO,all instruments,FSC-A on CD4+ T cell,GCST90001973,25,IVW,0.00120862626553822,0.0105718862602972,1.00120935694861,0.980676861420649,1.02217174267709,0.908980512537525,0.990260439142967
CONDUCTIO,all instruments,SSC-A on lymphocyte,GCST90002079,21,IVW,-0.0272471637305801,0.0234721736358792,0.973120691657505,0.929366020153371,1.01893533871155,0.245711726341905,0.96753368259999
CONDUCTIO,all instruments,SSC-A on CD4+ T cell,GCST90002081,30,IVW,-0.00630647788968505,0.0173610963288066,0.99371336620464,0.960468371332012,1.02810908057733,0.716415573843458,0.976120388751442
CONDUCTIO,all instruments,CD86 on monocyte,GCST90001905,16,IVW,0.00366694094016401,0.0164164091106772,1.00367367239353,0.971893332357298,1.0364932108471,0.823247188985931,0.979162256172564
CONDUCTIO,all instruments,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,GCST90001467,26,IVW,0.0163576224605652,0.0194433107456762,1.01649214083286,0.978483586333493,1.05597711275538,0.400180895092743,0.976120388751442
CONDUCTIO,all instruments,CD127- CD8+ T cell %T cell,GCST90001682,14,IVW,0.0315035096757058,0.0278594684570579,1.03200499759216,0.977163737854208,1.08992410769759,0.258138936258901,0.96753368259999
CONDUCTIO,all instruments,CD20 on IgD- CD24- B cell,GCST90001753,28,IVW,-0.00588077980309487,0.0201388989980847,0.994136478135833,0.955660053406964,1.03416202616921,0.770278222376453,0.978772201123906
CONDUCTIO,all instruments,CD20 on IgD- CD27- B cell,GCST90001754,19,IVW,-0.0314121342605906,0.0272499744896153,0.969076101301212,0.918675716732179,1.0222415516257,0.249017138142456,0.96753368259999
CONDUCTIO,all instruments,SSC-A on granulocyte,GCST90002078,25,IVW,-0.0237246932291408,0.0144823610565347,0.976554524825705,0.949224331649586,1.00467161255787,0.101384452929219,0.924454769589635
CONDUCTIO,all instruments,CD28- CD4-CD8- T cell %CD4-CD8- T cell,GCST90001653,27,IVW,0.00985810350230029,0.0183460812828054,1.00990685467096,0.974237450719148,1.04688220962819,0.591032020273954,0.976120388751442
CONDUCTIO,all instruments,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,GCST90001656,27,IVW,-0.00985810350230029,0.0183460812828054,0.990190328320733,0.955217302197883,1.02644380921903,0.591032020273954,0.976120388751442
CONDUCTIO,all instruments,Naive CD8+ T cell Absolute Count,GCST90001551,28,IVW,0.00358467269329952,0.00350228779280212,1.00359110531644,0.996725561325328,1.01050393985184,0.306060552000033,0.96753368259999
CONDUCTIO,all instruments,CD28+ CD45RA+ CD8+ T cell Absolute Count,GCST90001690,59,IVW,0.00154143305448943,0.00202692249432815,1.00154262167307,0.997571618266658,1.00552943233358,0.446968003885729,0.976120388751442
CONDUCTIO,all instruments,CD127- CD8+ T cell %CD8+ T cell,GCST90001683,14,IVW,-0.0208473805836372,0.0180490444566151,0.979368423801224,0.945327824211059,1.01463480178358,0.248073768130952,0.96753368259999
CONDUCTIO,all instruments,CD8 on CD28+ CD45RA- CD8+ T cell,GCST90002118,14,IVW,0.0110259283494701,0.0245087309486567,1.01108693792033,0.963665357356788,1.06084211518938,0.652798720859667,0.976120388751442
CONDUCTIO,all instruments,Naive CD8+ T cell %T cell,GCST90001553,29,IVW,0.00253521560174752,0.00331325748189734,1.00253843197832,0.996049056533493,1.00907008645888,0.444168456999978,0.976120388751442
CONDUCTIO,all instruments,CD28+ CD45RA+ CD8+ T cell %T cell,GCST90001688,110,IVW,0.000129167999741641,0.00085449252583375,1.00012917634229,0.998455556531336,1.00180560148919,0.879846817109404,0.983378204310675
CONDUCTIO,all instruments,FSC-A on CD8+ T cell,GCST90001974,18,IVW,0.012079425223805,0.0183611552288491,1.01215267612647,0.976375103522056,1.04924125583958,0.510615648299586,0.976120388751442
