id,trait,nIV,method,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001737,CD19 on naive-mature B cell,29,IVW,0.00785319146589924,0.00946398558880021,1.00788410865387,0.989360780862766,1.0267542398347,0.406653291457279,0.976120388751441
ebi-a-GCST90002109,HLA DR on CD33+ HLA DR+ CD14dim,20,IVW,-0.0108132780289835,0.0131937437780075,0.989244975302989,0.963991293709671,1.01516022763681,0.412457761542279,0.976120388751441
ebi-a-GCST90001676,CD28- CD25++ CD8+ T cell %T cell,8,IVW,0.0316925236381799,0.0387647560553109,1.03220007938206,0.956679926796039,1.11368178011691,0.413608333078171,0.976120388751441
ebi-a-GCST90001732,CD19 on IgD- CD27- B cell,26,IVW,-0.0181925173042298,0.0223377480682574,0.981971967563738,0.939906850803678,1.02591969008045,0.415399039065033,0.976120388751441
ebi-a-GCST90002106,HLA DR on Dendritic Cell,19,IVW,-0.0100349061345124,0.0123855742768437,0.990015275539647,0.966271303499707,1.01434270297787,0.417819955046427,0.976120388751441
ebi-a-GCST90001588,T/B cell,29,IVW,-0.0144140483238349,0.0178663176827071,0.985689336742174,0.95176984679993,1.02081766073375,0.419797741619723,0.976120388751441
ebi-a-GCST90001780,CD25 on IgD+ CD38- B cell,29,IVW,0.00534484756104886,0.00666956035837018,1.00535915674088,0.992302289556857,1.01858782820516,0.422912099403994,0.976120388751441
ebi-a-GCST90001926,CD127 on granulocyte,31,IVW,0.0145500030307578,0.0181641501837639,1.0146563695766,0.979168309580866,1.05143062561232,0.423115113199234,0.976120388751441
ebi-a-GCST90001532,Basophil Absolute Count,23,IVW,0.00556960639637175,0.00698177644925234,1.00558514548956,0.99191815965919,1.01944043969988,0.42502437485054,0.976120388751441
ebi-a-GCST90002104,HLA DR on myeloid Dendritic Cell,16,IVW,-0.00845862424629708,0.0106732181131066,0.99157704926198,0.971049210500442,1.01253884354262,0.428063791416201,0.976120388751441
ebi-a-GCST90001619,HLA DR+ T cell%T cell,31,IVW,-0.00782525187397565,0.00987423989345835,0.992205285702811,0.97318725701004,1.0115949647771,0.428074105342452,0.976120388751441
ebi-a-GCST90001701,BAFF-R on CD20- CD38- B cell,17,IVW,-0.0107781119890556,0.0136495867909127,0.989279763742971,0.963164268185441,1.01610336188564,0.429744363269473,0.976120388751441
ebi-a-GCST90002102,CD45RA on resting CD4 regulatory T cell,29,IVW,-0.00597279952965888,0.00758244506056431,0.994045002177808,0.979381144641028,1.00892841541978,0.430863906552888,0.976120388751441
ebi-a-GCST90001714,BAFF-R on IgD- CD38dim B cell,4,IVW,0.0299270526698988,0.0380272467978246,1.03037936778809,0.95637388331452,1.11011149518628,0.431287878456576,0.976120388751441
ebi-a-GCST90002039,CD80 on monocyte,23,IVW,-0.0130504033998534,0.0166245725988961,0.987034383877765,0.955391031064651,1.01972579109447,0.432449551264019,0.976120388751441
ebi-a-GCST90001479,CD4 regulatory T cell %T cell,16,IVW,-0.0155221930832775,0.0199629509910259,0.9845976552515,0.946816876213379,1.02388599852996,0.436834331213817,0.976120388751441
ebi-a-GCST90001691,CD28+ CD45RA- CD8+ T cell %T cell,26,IVW,0.00542935824809997,0.00698857758939866,1.00544412392421,0.991765834169453,1.01931106265655,0.437223485466421,0.976120388751441
ebi-a-GCST90001671,CD39+ CD8+ T cell %CD8+ T cell,21,IVW,-0.01091629158569,0.0141657806470524,0.98914307490828,0.962057343318347,1.01699137731674,0.440938158807125,0.976120388751441
ebi-a-GCST90001938,CD25 on CD39+ resting CD4 regulatory T cell,15,IVW,0.0208297882345469,0.0270622441812817,1.02104824242181,0.968301076753962,1.07666875353229,0.441478332956983,0.976120388751441
ebi-a-GCST90001831,CD62L on CD62L+ myeloid Dendritic Cell,15,IVW,-0.0234209593095142,0.030481918413196,0.976851182609495,0.920198823857603,1.03699136341564,0.44227582232008,0.976120388751441
ebi-a-GCST90001553,Naive CD8+ T cell %T cell,29,IVW,0.00253521560174752,0.00331325748189734,1.00253843197832,0.996049056533493,1.00907008645888,0.444168456999978,0.976120388751441
ebi-a-GCST90001805,CD27 on memory B cell,25,IVW,-0.00710620194397563,0.00929951979081766,0.99291898740687,0.974984933685462,1.01118292343904,0.444779531472838,0.976120388751441
ebi-a-GCST90001636,CD4-CD8- Natural Killer T Absolute Count,10,IVW,0.0289146754636536,0.0379820981109502,1.02933676304604,0.955490711121326,1.10889008069443,0.446495129369593,0.976120388751441
ebi-a-GCST90001690,CD28+ CD45RA+ CD8+ T cell Absolute Count,59,IVW,0.00154143305448943,0.00202692249432815,1.00154262167307,0.997571618266658,1.00552943233358,0.446968003885729,0.976120388751441
ebi-a-GCST90001816,CD38 on naive-mature B cell,26,IVW,-0.0113924443769527,0.0149835547798117,0.988672203784401,0.960059313296128,1.01813785148335,0.447057426762776,0.976120388751441
ebi-a-GCST90001700,CD45RA+ CD28- CD8+ T cell %T cell,206,IVW,0.000114827600760134,0.000151471336077539,1.0001148341937,0.999817960353276,1.00041179618425,0.448402260821649,0.976120388751441
ebi-a-GCST90001744,CD20 on CD20- CD38- B cell,16,IVW,-0.016034168133786,0.0211920389200399,0.98409369483581,0.944055271326085,1.02583019197092,0.449281864029847,0.976120388751441
ebi-a-GCST90001764,CD24 on CD24+ CD27+ B cell,3,IVW,0.0282831759296058,0.0377456547545974,1.02868694256206,0.955330134761097,1.10767658979198,0.453670711342646,0.976120388751441
