outcome,id,trait,nIV_main,p_main,FDR_main,nIV_gws,p_gws,FDR_gws
Cardiac conduction disorders,ebi-a-GCST90002096,CD11b on basophil,19,0.252194217563958,0.967533682599991,1,0.853872609081631,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001952,CD33 on Monocytic Myeloid-Derived Suppressor Cells,21,0.254041377496923,0.967533682599991,4,0.127491303379194,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90001416,IgD+ CD24- B cell Absolute Count,23,0.255107784942445,0.967533682599991,1,0.865508153638598,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001658,CD39+ CD4+ T cell %T cell,31,0.256990474863062,0.967533682599991,6,0.202271749860695,0.666368476588003
Cardiac conduction disorders,ebi-a-GCST90001417,CD24+ CD27+ B cell %B cell,26,0.257918789916817,0.967533682599991,3,0.139635725126818,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90001851,CD3 on T cell,31,0.258601484966374,0.967533682599991,3,0.736272051412075,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001876,HVEM on Central Memory CD4+ T cell,18,0.259714642329588,0.967533682599991,1,0.148805065228843,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90001990,CD64 on CD14- CD16+ monocyte,20,0.263230117532034,0.967533682599991,2,0.50763258169921,0.893740393213083
Cardiac conduction disorders,ebi-a-GCST90001470,CD62L- plasmacytoid Dendritic Cell Absolute Count,24,0.264569646911075,0.967533682599991,2,0.926039558375181,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001929,CD127 on CD28+ CD45RA+ CD8+ T cell,21,0.264885876188558,0.967533682599991,2,0.93900592904548,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001795,CD25 on transitional B cell,22,0.267340552562567,0.967533682599991,2,0.562597176131429,0.920475703266246
Cardiac conduction disorders,ebi-a-GCST90002065,CD4 on CD39+ resting CD4 regulatory T cell,15,0.268210438448612,0.967533682599991,1,0.574590056949284,0.922688266053479
